ID,ProvinsiID,NamaProvinsi,BudidayaID,Budidaya,Tahun,Jumlah
159,74,Sulawesi Tenggara,0,semua budidaya,2006,62044
160,75,Gorontalo,0,semua budidaya,2006,5445
161,76,Sulawesi Barat,0,semua budidaya,2006,40779
162,81,Maluku,0,semua budidaya,2006,1054
163,82,Maluku Utara,0,semua budidaya,2006,10385
164,91,Papua Barat,0,semua budidaya,2006,1521
165,94,Papua,0,semua budidaya,2006,3726
166,11,Aceh,0,semua budidaya,2007,46589
167,12,Sumatera Utara,0,semua budidaya,2007,56998
168,13,Sumatera Barat,0,semua budidaya,2007,82821
169,14,Riau,0,semua budidaya,2007,18742
170,15,Jambi,0,semua budidaya,2007,30405
171,16,Sumatera Selatan,0,semua budidaya,2007,102389
172,17,Bengkulu,0,semua budidaya,2007,17350
173,18,Lampung,0,semua budidaya,2007,50269
174,19,Kepulauan Bangka Belitung,0,semua budidaya,2007,2157
175,21,Kepulauan Riau,0,semua budidaya,2007,7344
176,31,DKI Jakarta,0,semua budidaya,2007,1714
177,32,Jawa Barat,0,semua budidaya,2007,690403
178,33,Jawa Tengah,0,semua budidaya,2007,426247
179,34,DI Yogyakarta,0,semua budidaya,2007,44224
180,35,Jawa Timur,0,semua budidaya,2007,173611
181,36,Banten,0,semua budidaya,2007,43863
182,51,Bali,0,semua budidaya,2007,22887
183,52,Nusa Tenggara Barat,0,semua budidaya,2007,34202
184,53,Nusa Tenggara Timur,0,semua budidaya,2007,59726
185,61,Kalimantan Barat,0,semua budidaya,2007,25640
186,62,Kalimantan Tengah,0,semua budidaya,2007,17176
187,63,Kalimantan Selatan,0,semua budidaya,2007,18387
188,64,Kalimantan Timur,0,semua budidaya,2007,41886
189,71,Sulawesi Utara,0,semua budidaya,2007,16113
190,72,Sulawesi Tengah,0,semua budidaya,2007,36054
191,73,Sulawesi Selatan,0,semua budidaya,2007,106848
192,74,Sulawesi Tenggara,0,semua budidaya,2007,34095
193,75,Gorontalo,0,semua budidaya,2007,6916
194,76,Sulawesi Barat,0,semua budidaya,2007,129382
195,81,Maluku,0,semua budidaya,2007,1248
196,82,Maluku Utara,0,semua budidaya,2007,2445
197,91,Papua Barat,0,semua budidaya,2007,4100
198,94,Papua,0,semua budidaya,2007,4832
199,11,Aceh,0,semua budidaya,2008,64480
200,12,Sumatera Utara,0,semua budidaya,2008,80213
201,13,Sumatera Barat,0,semua budidaya,2008,84025
202,14,Riau,0,semua budidaya,2008,18515
203,15,Jambi,0,semua budidaya,2008,31063
204,16,Sumatera Selatan,0,semua budidaya,2008,154857
205,17,Bengkulu,0,semua budidaya,2008,6098
206,18,Lampung,0,semua budidaya,2008,81641
207,19,Kepulauan Bangka Belitung,0,semua budidaya,2008,2910
208,21,Kepulauan Riau,0,semua budidaya,2008,12590
209,31,DKI Jakarta,0,semua budidaya,2008,1840
210,32,Jawa Barat,0,semua budidaya,2008,612515
211,33,Jawa Tengah,0,semua budidaya,2008,444714
212,34,DI Yogyakarta,0,semua budidaya,2008,81059
213,35,Jawa Timur,0,semua budidaya,2008,183216
214,36,Banten,0,semua budidaya,2008,42341
215,51,Bali,0,semua budidaya,2008,20435
216,52,Nusa Tenggara Barat,0,semua budidaya,2008,29744
217,53,Nusa Tenggara Timur,0,semua budidaya,2008,88085
218,61,Kalimantan Barat,0,semua budidaya,2008,28720
219,62,Kalimantan Tengah,0,semua budidaya,2008,22482
220,63,Kalimantan Selatan,0,semua budidaya,2008,19038
221,64,Kalimantan Timur,0,semua budidaya,2008,36234
222,71,Sulawesi Utara,0,semua budidaya,2008,16540
